加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
3, 1, 0,443, 443
3, 2, 443,886, 443
13, 1, 443,1303, 860
3, 3, 886,1329, 443
13, 2, 1303,2163, 860
14, 1, 1303,2381, 1078
3, 4, 1329,1772, 443
3, 4, 1772,2614, 842
13, 3, 2163,3023, 860
14, 2, 2381,3459, 1078
18, 1, 2381,2915, 534
7, 1, 2915,3993, 1078
3, 3, 3023,3865, 842
13, 4, 3023,3883, 860
18, 2, 3459,3993, 534
14, 3, 3865,4943, 1078
13, 4, 3883,5559, 1676
7, 2, 3993,5071, 1078
20, 1, 3993,4853, 860
19, 1, 4853,5514, 661
18, 3, 4943,5477, 534
3, 2, 5071,5913, 842
7, 3, 5477,6555, 1078
2, 1, 5514,5903, 389
18, 4, 5559,6093, 534
6, 1, 5903,6763, 860
2, 2, 5913,6302, 389
18, 4, 6093,7116, 1023
20, 2, 6302,7162, 860
2, 3, 6555,6944, 389
25, 1, 6763,7297, 534
13, 3, 6944,8620, 1676
14, 4, 7116,8194, 1078
19, 2, 7162,7823, 661
8, 1, 7297,7632, 335
15, 1, 7632,7967, 335
6, 2, 7823,8683, 860
1, 1, 7967,8302, 335
2, 4, 8194,8583, 389
22, 1, 8302,8637, 335
2, 4, 8583,9316, 733
19, 3, 8620,9281, 661
24, 1, 8637,9080, 443
13, 2, 8683,10359, 1676
12, 1, 9080,9741, 661
18, 3, 9281,10304, 1023
19, 4, 9316,9977, 661
23, 1, 9741,10130, 389
14, 4, 9977,12088, 2111
4, 1, 10130,10664, 534
2, 3, 10304,11037, 733
25, 2, 10359,10893, 534
10, 1, 10664,11107, 443
23, 2, 10893,11282, 389
20, 3, 11037,11897, 860
5, 1, 11107,11768, 661
4, 2, 11282,11816, 534
17, 1, 11768,12211, 443
2, 2, 11816,12549, 733
23, 3, 11897,12286, 389
20, 4, 12088,12948, 860
16, 1, 12211,12600, 389
6, 3, 12286,13146, 860
1, 2, 12549,12884, 335
3, 1, 12600,13442, 842
8, 2, 12884,13219, 335
23, 4, 12948,13337, 389
4, 3, 13146,13680, 534
24, 2, 13219,13662, 443
23, 4, 13337,14070, 733
21, 1, 13442,14520, 1078
