加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
25, 1, 0,681, 681
10, 1, 681,1244, 563
25, 2, 681,1362, 681
8, 1, 1244,1666, 422
10, 2, 1362,1925, 563
25, 3, 1362,2043, 681
28, 1, 1666,3054, 1388
8, 2, 1925,2347, 422
10, 3, 2043,2606, 563
25, 4, 2043,2724, 681
8, 3, 2606,3028, 422
25, 4, 2724,4041, 1317
14, 1, 3054,4442, 1388
28, 2, 3054,4442, 1388
8, 4, 4041,4463, 422
25, 3, 4041,5358, 1317
4, 1, 4442,5123, 681
14, 2, 4442,5830, 1388
10, 4, 4463,5026, 563
10, 4, 5026,6107, 1081
20, 1, 5123,6228, 1105
28, 3, 5358,6746, 1388
25, 2, 5830,7147, 1317
8, 4, 6107,6906, 799
6, 1, 6228,7333, 1105
10, 3, 6746,7827, 1081
28, 4, 6906,8294, 1388
20, 2, 7147,8252, 1105
1, 1, 7333,7755, 422
19, 1, 7755,8601, 846
14, 3, 7827,9215, 1388
4, 2, 8252,8933, 681
28, 4, 8294,11025, 2731
23, 1, 8601,9093, 492
1, 2, 8933,9355, 422
7, 1, 9093,10481, 1388
20, 3, 9215,10320, 1105
23, 2, 9355,9847, 492
10, 2, 9847,10928, 1081
23, 3, 10320,10812, 492
30, 1, 10481,10973, 492
1, 3, 10812,11234, 422
19, 2, 10928,11774, 846
15, 1, 10973,11395, 422
20, 4, 11025,12130, 1105
4, 3, 11234,11915, 681
26, 1, 11395,12241, 846
6, 2, 11774,12879, 1105
28, 3, 11915,14646, 2731
1, 4, 12130,12552, 422
29, 1, 12241,12663, 422
1, 4, 12552,13351, 799
18, 1, 12663,13344, 681
30, 2, 12879,13371, 492
22, 1, 13344,13766, 422
4, 4, 13351,14032, 681
7, 2, 13371,14759, 1388
13, 1, 13766,14871, 1105
4, 4, 14032,15349, 1317
1, 3, 14646,15445, 799
22, 2, 14759,15181, 422
9, 1, 14871,15363, 492
13, 2, 15181,16286, 1105
14, 4, 15349,16737, 1388
2, 1, 15363,15855, 492
4, 3, 15445,16762, 1317
16, 1, 15855,16347, 492
9, 2, 16286,16778, 492
3, 1, 16347,16910, 563
23, 4, 16737,17229, 492
8, 3, 16762,17561, 799
18, 2, 16778,17459, 681
17, 1, 16910,17473, 563
14, 4, 17229,19960, 2731
28, 2, 17459,20190, 2731
27, 1, 17473,18578, 1105
22, 3, 17561,17983, 422
9, 3, 17983,18475, 492
19, 3, 18475,19321, 846
25, 1, 18578,19895, 1317
6, 3, 19321,20426, 1105
21, 1, 19895,21283, 1388
20, 4, 19960,22125, 2165
2, 2, 20190,20682, 492
7, 3, 20426,21814, 1388
8, 2, 20682,21481, 799
11, 1, 21283,21964, 681
21, 2, 21481,22869, 1388
30, 3, 21814,22306, 492
8, 1, 21964,22763, 799
23, 4, 22125,23065, 940
13, 3, 22306,23411, 1105
5, 1, 22763,23609, 846
1, 2, 22869,23668, 799
22, 4, 23065,23487, 422
20, 3, 23411,25576, 2165
19, 4, 23487,24333, 846
10, 1, 23609,24690, 1081
4, 2, 23668,24985, 1317
19, 4, 24333,25980, 1647
12, 1, 24690,25536, 846
17, 2, 24985,25548, 563
4, 1, 25536,26853, 1317
29, 2, 25548,25970, 422
23, 3, 25576,26516, 940
26, 2, 25970,26816, 846
22, 4, 25980,26779, 799
19, 3, 26516,28163, 1647
30, 4, 26779,27271, 492
27, 2, 26816,27921, 1105
24, 1, 26853,27416, 563
13, 4, 27271,28376, 1105
28, 1, 27416,30147, 2731
3, 2, 27921,28484, 563
22, 3, 28163,28962, 799
9, 4, 28376,28868, 492
20, 2, 28484,30649, 2165
30, 4, 28868,29808, 940
2, 3, 28962,29454, 492
14, 3, 29454,32185, 2731
2, 4, 29808,30300, 492
1, 1, 30147,30946, 799
2, 4, 30300,31240, 940
5, 2, 30649,31495, 846
20, 1, 30946,33111, 2165
6, 4, 31240,32345, 1105
12, 2, 31495,32341, 846
21, 3, 32185,33573, 1388
23, 2, 32341,33281, 940
13, 4, 32345,34510, 2165
23, 1, 33281,34221, 940
24, 2, 33281,33844, 563
17, 3, 33573,34136, 563
