代数, 变异数, 最优个体时间
1,7,68517.0
2,5,68517.0
3,6,68517.0
4,6,68517.0
5,1,68517.0
6,5,68517.0
7,6,68517.0
8,4,68517.0
9,6,68517.0
10,6,68517.0
11,4,68517.0
12,2,68517.0
13,6,68517.0
14,2,68517.0
15,3,68517.0
16,5,68517.0
17,3,68517.0
18,7,68517.0
19,5,68517.0
20,6,68517.0
21,5,68517.0
22,7,68517.0
23,6,68517.0
24,6,68517.0
25,7,68517.0
26,6,68517.0
27,2,68517.0
28,2,68517.0
29,1,68517.0
30,2,68517.0
31,2,68517.0
32,3,68517.0
33,4,68517.0
34,5,68517.0
35,7,68517.0
36,6,68517.0
37,2,68517.0
38,6,68517.0
39,2,68517.0
40,4,68517.0
41,4,68517.0
42,4,68517.0
43,5,68517.0
44,5,68517.0
45,3,68517.0
46,5,68517.0
47,4,68517.0
48,3,68517.0
49,6,68517.0
50,6,68517.0
51,1,68517.0
52,6,68517.0
53,4,68517.0
54,4,68517.0
55,4,68517.0
56,1,68517.0
57,7,68517.0
58,4,68517.0
59,6,68517.0
60,4,68517.0
61,6,68517.0
62,3,68517.0
63,1,68517.0
64,6,68517.0
65,2,68517.0
66,5,68517.0
67,5,68517.0
68,3,68517.0
69,4,68517.0
70,5,68517.0
71,4,68517.0
72,2,68517.0
73,4,68517.0
74,2,68517.0
75,6,68517.0
76,4,68517.0
77,6,68517.0
78,1,68517.0
79,3,68517.0
80,5,68517.0
81,7,68517.0
82,6,68517.0
83,3,68517.0
84,5,68517.0
85,3,68517.0
86,3,68517.0
87,4,68517.0
88,5,68517.0
89,5,68517.0
90,1,68517.0
91,5,68517.0
92,4,68517.0
93,3,68517.0
94,1,68517.0
95,2,68517.0
96,6,68517.0
97,6,68517.0
98,1,68517.0
99,2,68517.0
100,5,68517.0
101,3,68517.0
102,2,68517.0
103,5,68517.0
104,5,68517.0
105,3,68517.0
106,3,68517.0
107,2,68517.0
108,7,68517.0
109,5,68517.0
110,2,68517.0
111,4,68517.0
112,4,68517.0
113,7,68517.0
114,5,68517.0
115,5,68517.0
116,4,68517.0
117,1,68517.0
118,2,68517.0
119,4,68517.0
120,5,68517.0
121,4,68517.0
122,3,68517.0
123,3,68517.0
124,4,68517.0
125,6,68517.0
126,6,68517.0
127,8,68517.0
128,7,68517.0
129,5,68517.0
130,1,68517.0
131,5,68517.0
132,6,68517.0
133,6,68517.0
134,1,68517.0
135,5,68517.0
136,5,68517.0
137,4,68517.0
138,3,68517.0
139,5,68517.0
140,1,68517.0
141,4,68517.0
142,4,68517.0
143,3,68517.0
144,1,68517.0
145,6,68517.0
146,7,68517.0
147,5,68517.0
148,4,68517.0
149,2,68517.0
150,5,68517.0
151,4,68517.0
152,6,68517.0
153,6,68517.0
154,3,68517.0
155,4,68517.0
156,5,68517.0
157,6,68517.0
158,3,68517.0
159,7,68517.0
160,5,68517.0
161,3,68517.0
162,4,68517.0
163,4,68517.0
164,2,68517.0
165,5,68517.0
166,5,68517.0
167,4,68517.0
168,5,68517.0
169,4,68517.0
170,5,68517.0
171,3,68517.0
172,6,68517.0
173,5,68517.0
174,3,68517.0
175,5,68517.0
176,6,68517.0
177,7,68517.0
178,2,68517.0
179,7,68517.0
180,6,68517.0
181,6,68517.0
182,2,68517.0
183,7,68517.0
184,6,68517.0
185,1,68517.0
186,6,68517.0
187,6,68517.0
188,3,68517.0
189,4,68517.0
190,5,68517.0
191,7,68517.0
192,4,68517.0
193,5,68517.0
194,4,68517.0
195,5,68517.0
196,1,68517.0
197,4,68517.0
198,2,68517.0
199,1,68517.0
200,4,68517.0
201,5,68517.0
202,5,68517.0
203,6,68517.0
204,2,68517.0
205,3,68517.0
206,4,68517.0
207,2,68517.0
208,2,68517.0
209,6,68517.0
210,5,68517.0
211,4,68517.0
212,5,68517.0
213,2,68517.0
214,5,68517.0
215,7,68517.0
216,5,68517.0
217,7,68517.0
218,5,68517.0
219,6,68517.0
220,6,68517.0
221,7,68517.0
222,2,68517.0
223,4,68517.0
224,6,68517.0
225,2,68517.0
226,3,68517.0
227,5,68517.0
228,2,68517.0
229,7,68517.0
230,5,68517.0
231,6,68517.0
232,2,68517.0
233,4,68517.0
234,5,68517.0
235,6,68517.0
236,2,68517.0
237,1,68517.0
238,3,68517.0
239,4,68517.0
240,8,68517.0
241,6,68517.0
242,2,68517.0
243,1,68517.0
244,3,68517.0
245,3,68517.0
246,1,68517.0
247,2,68517.0
248,5,68517.0
249,3,68517.0
250,4,68517.0
251,6,68517.0
252,5,68517.0
253,4,68517.0
254,2,68517.0
255,4,68517.0
256,8,68517.0
257,5,68517.0
258,2,68517.0
259,2,68517.0
260,6,68517.0
261,4,68517.0
262,7,68517.0
263,7,68517.0
264,3,68517.0
265,3,68517.0
266,5,68517.0
267,4,68517.0
268,1,68517.0
269,5,68517.0
270,2,68517.0
271,3,68517.0
272,1,68517.0
273,5,68517.0
274,2,68517.0
275,6,68517.0
276,6,68517.0
277,2,68517.0
278,4,68517.0
279,4,68517.0
280,5,68517.0
281,3,68517.0
282,4,68517.0
283,2,68517.0
284,5,68517.0
285,2,68517.0
286,3,68517.0
287,5,68517.0
288,1,68517.0
289,6,68517.0
290,4,68517.0
291,2,68517.0
292,2,68517.0
293,9,68517.0
294,5,68517.0
295,2,68517.0
296,3,68517.0
297,6,68517.0
298,4,68517.0
299,3,68517.0
300,5,68517.0
301,4,68517.0
302,5,68517.0
303,6,68517.0
304,6,68517.0
305,4,68517.0
306,7,68517.0
307,5,68517.0
308,3,68517.0
309,2,68517.0
310,2,68517.0
311,5,68517.0
312,6,68517.0
313,6,68517.0
314,3,68517.0
315,4,68517.0
316,1,68517.0
317,6,68517.0
318,3,68517.0
319,2,68517.0
320,6,68517.0
321,4,68517.0
322,7,68517.0
323,1,68517.0
324,4,68517.0
325,2,68517.0
326,4,68517.0
