加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
23, 1, 0,355, 355
10, 1, 355,765, 410
23, 2, 355,710, 355
23, 3, 710,1065, 355
10, 2, 765,1175, 410
27, 1, 765,1591, 826
23, 4, 1065,1420, 355
10, 3, 1175,1585, 410
23, 4, 1420,2120, 700
17, 1, 1591,2001, 410
27, 2, 1591,2417, 826
31, 1, 2001,2411, 410
10, 4, 2120,2530, 410
23, 3, 2120,2820, 700
6, 1, 2411,3237, 826
31, 2, 2417,2827, 410
10, 4, 2530,3338, 808
27, 3, 2820,3646, 826
17, 2, 2827,3237, 410
6, 2, 3237,4063, 826
36, 1, 3237,3538, 301
38, 1, 3538,3948, 410
10, 3, 3646,4454, 808
27, 4, 3646,4472, 826
32, 1, 3948,4448, 500
23, 2, 4063,4763, 700
4, 1, 4448,4948, 500
31, 3, 4454,4864, 410
27, 4, 4472,6114, 1642
32, 2, 4763,5263, 500
17, 3, 4864,5274, 410
15, 1, 4948,5249, 301
5, 1, 5249,5876, 627
4, 2, 5263,5763, 500
32, 3, 5274,5774, 500
10, 2, 5763,6571, 808
4, 3, 5774,6274, 500
40, 1, 5876,6503, 627
17, 4, 6114,6524, 410
6, 3, 6274,7100, 826
35, 1, 6503,7547, 1044
31, 4, 6524,6934, 410
36, 2, 6571,6872, 301
5, 2, 6872,7499, 627
31, 4, 6934,7742, 808
36, 3, 7100,7401, 301
27, 3, 7401,9043, 1642
38, 2, 7499,7909, 410
19, 1, 7547,8174, 627
17, 4, 7742,8550, 808
15, 2, 7909,8210, 301
3, 1, 8174,8584, 410
19, 2, 8210,8837, 627
32, 4, 8550,9050, 500
30, 1, 8584,8939, 355
3, 2, 8837,9247, 410
8, 1, 8939,9240, 301
15, 3, 9043,9344, 301
32, 4, 9050,10040, 990
28, 1, 9240,10284, 1044
35, 2, 9247,10291, 1044
3, 3, 9344,9754, 410
17, 3, 9754,10562, 808
15, 4, 10040,10341, 301
9, 1, 10284,10639, 355
40, 2, 10291,10918, 627
4, 4, 10341,10841, 500
19, 3, 10562,11189, 627
29, 1, 10639,10940, 301
6, 4, 10841,11667, 826
28, 2, 10918,11962, 1044
16, 1, 10940,11295, 355
35, 3, 11189,12233, 1044
11, 1, 11295,11795, 500
4, 4, 11667,12657, 990
33, 1, 11795,12422, 627
16, 2, 11962,12317, 355
32, 3, 12233,13223, 990
30, 2, 12317,12672, 355
25, 1, 12422,12922, 500
35, 4, 12657,13701, 1044
8, 2, 12672,12973, 301
1, 1, 12922,13223, 301
27, 2, 12973,14615, 1642
4, 3, 13223,14213, 990
14, 1, 13223,14267, 1044
6, 4, 13701,15343, 1642
5, 3, 14213,14840, 627
20, 1, 14267,15093, 826
25, 2, 14615,15115, 500
38, 3, 14840,15250, 410
23, 1, 15093,15793, 700
11, 2, 15115,15615, 500
25, 3, 15250,15750, 500
36, 4, 15343,15644, 301
17, 2, 15615,16423, 808
5, 4, 15644,16271, 627
16, 3, 15750,16105, 355
18, 1, 15793,16293, 500
28, 3, 16105,17149, 1044
38, 4, 16271,16681, 410
39, 1, 16293,16793, 500
1, 2, 16423,16724, 301
19, 4, 16681,17308, 627
29, 2, 16724,17025, 301
12, 1, 16793,17420, 627
32, 2, 17025,18015, 990
6, 3, 17149,18791, 1642
36, 4, 17308,17899, 591
24, 1, 17420,17830, 410
26, 1, 17830,18457, 627
16, 4, 17899,18254, 355
4, 2, 18015,19005, 990
28, 4, 18254,19298, 1044
2, 1, 18457,18812, 355
